Industry,May-20,1/11/2020,May-21,Nov-21,May-22,1/11/2022,May-23,Min,Max,Median,Average
Mining,"2,697.50","2,633.20","2,674.30","2,656.30","2,854.00","2,811.70","2,854.00","2,633.20","2,854.00","2,697.50","2,740.14"
Manufacturing,"1,526.80","1,555.90","1,562.10","1,557.10","1,631.10","1,582.60","1,631.10","1,526.80","1,631.10","1,562.10","1,578.10"
"Electricity, Gas, Water & Waste services","1,907.70","1,944.10","1,909.40","1,970.80","2,155.40","2,098.20","2,155.40","1,907.70","2,155.40","1,970.80","2,020.14"
Construction,"1,683.00","1,629.40","1,695.10","1,734.10","1,802.80","1,786.00","1,802.80","1,629.40","1,802.80","1,734.10","1,733.31"
Wholesale Trade,"1,591.50","1,578.40","1,634.10","1,638.20","1,685.00","1,678.30","1,685.00","1,578.40","1,685.00","1,638.20","1,641.50"
Retail Trade,"1,259.80","1,289.30","1,311.30","1,314.40","1,383.70","1,353.80","1,383.70","1,259.80","1,383.70","1,314.40","1,328.00"
Accommodation & Food Services,"1,139.30","1,161.10","1,201.90","1,218.80","1,346.80","1,293.80","1,346.80","1,139.30","1,346.80","1,218.80","1,244.07"
"Transport, Postal & Warehousing","1,662.10","1,685.20","1,696.50","1,690.80","1,799.70","1,771.90","1,799.70","1,662.10","1,799.70","1,696.50","1,729.41"
Information Media & Telecommunications,"2,033.40","2,033.60","2,102.10","2,178.40","2,317.90","2,270.70","2,317.90","2,033.40","2,317.90","2,178.40","2,179.14"
Financial & Insurance Services,"2,015.80","2,032.10","2,065.40","2,116.20","2,159.70","2,201.50","2,159.70","2,015.80","2,201.50","2,116.20","2,107.20"
"Rental, Hiring & Real Estate Services","1,561.30","1,539.80","1,593.30","1,581.80","1,719.70","1,685.60","1,719.70","1,539.80","1,719.70","1,593.30","1,628.74"
"Professional, Scientific & Technical Services","1,965.70","2,001.40","2,035.70","2,051.40","2,170.90","2,140.40","2,170.90","1,965.70","2,170.90","2,051.40","2,076.63"
Administrative & Support Services,"1,537.90","1,526.00","1,512.10","1,520.30","1,616.40","1,568.70","1,616.40","1,512.10","1,616.40","1,537.90","1,556.83"
Public Administration & Safety,"1,801.90","1,824.50","1,844.30","1,890.90","1,964.50","1,947.00","1,964.50","1,801.90","1,964.50","1,890.90","1,891.09"
Education & Training,"1,825.70","1,838.30","1,849.80","1,871.10","1,949.70","1,905.40","1,949.70","1,825.70","1,949.70","1,871.10","1,884.24"
Health Care & Social Assistance,"1,624.60","1,675.60","1,696.90","1,691.40","1,807.70","1,763.60","1,807.70","1,624.60","1,807.70","1,696.90","1,723.93"
Arts & Recreation Services,"1,523.80","1,464.40","1,543.70","1,543.50","1,653.30","1,647.20","1,653.30","1,464.40","1,653.30","1,543.70","1,575.60"
Other Services,"1,339.30","1,322.80","1,331.90","1,328.00","1,382.70","1,333.20","1,382.70","1,322.80","1,382.70","1,333.20","1,345.80"
